"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2917","0.0-0.0","FL","dqehnfb6j7","2560","1440","en","er08em17","","","","","","","","","","","","","","",""
"","survey-html-form","1","18095","0.0-1.0","FL","dqehnfb6j7","2560","1440","en","er08em17","15176.299999991897","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","48720","0.0-3.0-0.0","FL","dqehnfb6j7","2560","1440","en","er08em17","30602.965000027325","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","67125","0.0-3.0-1.0","FL","dqehnfb6j7","2560","1440","en","er08em17","18381.92000001436","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","136980","0.0-3.0-2.0","FL","dqehnfb6j7","2560","1440","en","er08em17","69854.35499995947","{""codeword_enter"":""er08em17""}","","","","","","","","","","","","",""
"","instructions","5","153651","0.0-4.0","FL","dqehnfb6j7","2560","1440","en","er08em17","NA","","","[{""page_index"":0,""viewing_time"":2822.7249999763444},{""page_index"":1,""viewing_time"":12346.085000026505}]","instructions","","","","","","","","","",""
"","resize","6","205230","0.0-5.0","FL","dqehnfb6j7","2560","1440","en","er08em17","","","","","","","306","1.9428571428571428","","","","","","",""
"","image-keyboard-response","7","205407","0.0-6.0-0.0","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","206560","0.0-6.0-1.0","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","207561","0.0-6.0-2.0","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","207737","0.0-6.0-0.1","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","208889","0.0-6.0-1.1","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","209890","0.0-6.0-2.1","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","210066","0.0-6.0-0.2","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","211217","0.0-6.0-1.2","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","212218","0.0-6.0-2.2","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","212395","0.0-6.0-0.3","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","213546","0.0-6.0-1.3","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","214547","0.0-6.0-2.3","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","214722","0.0-6.0-0.4","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","215874","0.0-6.0-1.4","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","216875","0.0-6.0-2.4","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","217051","0.0-6.0-0.5","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","218202","0.0-6.0-1.5","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","219203","0.0-6.0-2.5","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","219379","0.0-6.0-0.6","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","220531","0.0-6.0-1.6","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","221532","0.0-6.0-2.6","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","221708","0.0-6.0-0.7","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","222861","0.0-6.0-1.7","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","223861","0.0-6.0-2.7","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","224037","0.0-6.0-0.8","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","225190","0.0-6.0-1.8","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","226192","0.0-6.0-2.8","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","226367","0.0-6.0-0.9","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","227520","0.0-6.0-1.9","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","228521","0.0-6.0-2.9","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","228696","0.0-6.0-0.10","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","229847","0.0-6.0-1.10","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","230848","0.0-6.0-2.10","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","231024","0.0-6.0-0.11","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","232188","0.0-6.0-1.11","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","233190","0.0-6.0-2.11","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","233366","0.0-6.0-0.12","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","234519","0.0-6.0-1.12","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","235520","0.0-6.0-2.12","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","235696","0.0-6.0-0.13","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","236861","0.0-6.0-1.13","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","237862","0.0-6.0-2.13","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","238038","0.0-6.0-0.14","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","239190","0.0-6.0-1.14","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","240191","0.0-6.0-2.14","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","240367","0.0-6.0-0.15","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","241519","0.0-6.0-1.15","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","242520","0.0-6.0-2.15","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","242696","0.0-6.0-0.16","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","243848","0.0-6.0-1.16","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","57","244850","0.0-6.0-2.16","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide17.JPG","That was a bim.","",""
"","image-keyboard-response","58","245026","0.0-6.0-0.17","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
"","html-keyboard-response","59","246177","0.0-6.0-1.17","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","60","247178","0.0-6.0-2.17","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide18.JPG","That was a tob.","",""
"","image-keyboard-response","61","247353","0.0-6.0-0.18","FL","dqehnfb6j7","2560","1440","en","er08em17","null","","","","","","","","learning/Slide19.JPG","null","","","","",""
