"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2291","0.0-0.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","","","","","","","","","","","","","","",""
"","survey-html-form","1","4472","0.0-1.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","2175","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","13311","0.0-2.0-0.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","8832","","text/information.html","","","","","","","","","","","",""
"","external-html","3","22509","0.0-2.0-1.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","9184","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","113392","0.0-2.0-2.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","90880","{""codeword_enter"":""VA04RD11""}","","","","","","","","","","","","",""
"","instructions","5","133572","0.0-4.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","NA","","","[{""page_index"":0,""viewing_time"":5069},{""page_index"":1,""viewing_time"":13606}]","instructions","","","","","","","","","",""
"","resize","6","200996","0.0-5.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","","","","","","","358","2.273015873015873","","","","","","",""
"","image-keyboard-response","7","201176","0.0-6.0-0.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","202328","0.0-6.0-1.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","203330","0.0-6.0-2.0","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","203506","0.0-6.0-0.1","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","204660","0.0-6.0-1.1","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","205662","0.0-6.0-2.1","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","205838","0.0-6.0-0.2","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","206989","0.0-6.0-1.2","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","207991","0.0-6.0-2.2","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","208167","0.0-6.0-0.3","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","209321","0.0-6.0-1.3","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","210323","0.0-6.0-2.3","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","210500","0.0-6.0-0.4","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","211699","0.0-6.0-1.4","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","212700","0.0-6.0-2.4","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","212877","0.0-6.0-0.5","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","214030","0.0-6.0-1.5","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","215031","0.0-6.0-2.5","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","215210","0.0-6.0-0.6","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","216364","0.0-6.0-1.6","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","217367","0.0-6.0-2.6","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","217544","0.0-6.0-0.7","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","218696","0.0-6.0-1.7","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","219700","0.0-6.0-2.7","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","219877","0.0-6.0-0.8","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","221031","0.0-6.0-1.8","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","222035","0.0-6.0-2.8","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","222212","0.0-6.0-0.9","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","223405","0.0-6.0-1.9","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","224503","0.0-6.0-2.9","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","224680","0.0-6.0-0.10","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","225834","0.0-6.0-1.10","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","226837","0.0-6.0-2.10","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","227015","0.0-6.0-0.11","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","228168","0.0-6.0-1.11","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","229168","0.0-6.0-2.11","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","229346","0.0-6.0-0.12","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","230499","0.0-6.0-1.12","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","231501","0.0-6.0-2.12","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","231677","0.0-6.0-0.13","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","232832","0.0-6.0-1.13","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","233873","0.0-6.0-2.13","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","234052","0.0-6.0-0.14","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","235204","0.0-6.0-1.14","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","236205","0.0-6.0-2.14","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","236381","0.0-6.0-0.15","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","237536","0.0-6.0-1.15","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","238537","0.0-6.0-2.15","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","238714","0.0-6.0-0.16","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","239866","0.0-6.0-1.16","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","57","240868","0.0-6.0-2.16","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide17.JPG","That was a bim.","",""
"","image-keyboard-response","58","241044","0.0-6.0-0.17","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
"","html-keyboard-response","59","242208","0.0-6.0-1.17","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","60","243210","0.0-6.0-2.17","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide18.JPG","That was a tob.","",""
"","image-keyboard-response","61","243388","0.0-6.0-0.18","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide19.JPG","null","","","","",""
"","html-keyboard-response","62","244541","0.0-6.0-1.18","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","63","245542","0.0-6.0-2.18","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide19.JPG","That was a wug.","",""
"","image-keyboard-response","64","245720","0.0-6.0-0.19","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide20.JPG","null","","","","",""
"","html-keyboard-response","65","246873","0.0-6.0-1.19","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","66","247874","0.0-6.0-2.19","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide20.JPG","That was a bim.","",""
"","image-keyboard-response","67","248051","0.0-6.0-0.20","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide21.JPG","null","","","","",""
"","html-keyboard-response","68","249204","0.0-6.0-1.20","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","69","250205","0.0-6.0-2.20","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide21.JPG","That was a dep.","",""
"","image-keyboard-response","70","250382","0.0-6.0-0.21","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide22.JPG","null","","","","",""
"","html-keyboard-response","71","251535","0.0-6.0-1.21","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","72","252538","0.0-6.0-2.21","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide22.JPG","That was a bim.","",""
"","image-keyboard-response","73","252714","0.0-6.0-0.22","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide23.JPG","null","","","","",""
"","html-keyboard-response","74","253898","0.0-6.0-1.22","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","75","254900","0.0-6.0-2.22","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide23.JPG","That was a tob.","",""
"","image-keyboard-response","76","255077","0.0-6.0-0.23","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide24.JPG","null","","","","",""
"","html-keyboard-response","77","256232","0.0-6.0-1.23","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","78","257234","0.0-6.0-2.23","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide24.JPG","That was a wug.","",""
"","image-keyboard-response","79","257410","0.0-6.0-0.24","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide25.JPG","null","","","","",""
"","html-keyboard-response","80","258562","0.0-6.0-1.24","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","81","259563","0.0-6.0-2.24","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide25.JPG","That was a dep.","",""
"","image-keyboard-response","82","259740","0.0-6.0-0.25","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide26.JPG","null","","","","",""
"","html-keyboard-response","83","260894","0.0-6.0-1.25","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","84","261895","0.0-6.0-2.25","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide26.JPG","That was a wug.","",""
"","image-keyboard-response","85","262073","0.0-6.0-0.26","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide27.JPG","null","","","","",""
"","html-keyboard-response","86","263226","0.0-6.0-1.26","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","87","264228","0.0-6.0-2.26","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide27.JPG","That was a bim.","",""
"","image-keyboard-response","88","264416","0.0-6.0-0.27","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide28.JPG","null","","","","",""
"","html-keyboard-response","89","265569","0.0-6.0-1.27","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","90","266571","0.0-6.0-2.27","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide28.JPG","That was a dep.","",""
"","image-keyboard-response","91","266747","0.0-6.0-0.28","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide29.JPG","null","","","","",""
"","html-keyboard-response","92","267899","0.0-6.0-1.28","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","93","268901","0.0-6.0-2.28","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide29.JPG","That was a tob.","",""
"","image-keyboard-response","94","269078","0.0-6.0-0.29","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide30.JPG","null","","","","",""
"","html-keyboard-response","95","270230","0.0-6.0-1.29","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","96","271231","0.0-6.0-2.29","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide30.JPG","That was a dep.","",""
"","image-keyboard-response","97","271407","0.0-6.0-0.30","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide31.JPG","null","","","","",""
"","html-keyboard-response","98","272560","0.0-6.0-1.30","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","99","273561","0.0-6.0-2.30","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide31.JPG","That was a wug.","",""
"","image-keyboard-response","100","273738","0.0-6.0-0.31","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide32.JPG","null","","","","",""
"","html-keyboard-response","101","274892","0.0-6.0-1.31","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","102","275894","0.0-6.0-2.31","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide32.JPG","That was a tob.","",""
"","image-keyboard-response","103","276072","0.0-6.0-0.32","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide33.JPG","null","","","","",""
"","html-keyboard-response","104","277226","0.0-6.0-1.32","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","105","278262","0.0-6.0-2.32","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide33.JPG","That was a bim.","",""
"","image-keyboard-response","106","278439","0.0-6.0-0.33","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide34.JPG","null","","","","",""
"","html-keyboard-response","107","279593","0.0-6.0-1.33","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","108","280594","0.0-6.0-2.33","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide34.JPG","That was a tob.","",""
"","image-keyboard-response","109","280771","0.0-6.0-0.34","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide35.JPG","null","","","","",""
"","html-keyboard-response","110","281924","0.0-6.0-1.34","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","111","282925","0.0-6.0-2.34","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide35.JPG","That was a bim.","",""
"","image-keyboard-response","112","283103","0.0-6.0-0.35","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide36.JPG","null","","","","",""
"","html-keyboard-response","113","284255","0.0-6.0-1.35","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","114","285257","0.0-6.0-2.35","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide36.JPG","That was a dep.","",""
"","image-keyboard-response","115","285433","0.0-6.0-0.36","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide37.JPG","null","","","","",""
"","html-keyboard-response","116","286587","0.0-6.0-1.36","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","117","287588","0.0-6.0-2.36","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide37.JPG","That was a tob.","",""
"","image-keyboard-response","118","287765","0.0-6.0-0.37","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide38.JPG","null","","","","",""
"","html-keyboard-response","119","288917","0.0-6.0-1.37","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","120","289975","0.0-6.0-2.37","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide38.JPG","That was a wug.","",""
"","image-keyboard-response","121","290151","0.0-6.0-0.38","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide39.JPG","null","","","","",""
"","html-keyboard-response","122","291305","0.0-6.0-1.38","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","123","292306","0.0-6.0-2.38","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide39.JPG","That was a bim.","",""
"","image-keyboard-response","124","292484","0.0-6.0-0.39","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide40.JPG","null","","","","",""
"","html-keyboard-response","125","293636","0.0-6.0-1.39","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","126","294639","0.0-6.0-2.39","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide40.JPG","That was a tob.","",""
"","image-keyboard-response","127","294815","0.0-6.0-0.40","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide41.JPG","null","","","","",""
"","html-keyboard-response","128","295968","0.0-6.0-1.40","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","129","296969","0.0-6.0-2.40","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide41.JPG","That was a bim.","",""
"","image-keyboard-response","130","297145","0.0-6.0-0.41","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide42.JPG","null","","","","",""
"","html-keyboard-response","131","298311","0.0-6.0-1.41","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","132","299315","0.0-6.0-2.41","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide42.JPG","That was a dep.","",""
"","image-keyboard-response","133","299493","0.0-6.0-0.42","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide43.JPG","null","","","","",""
"","html-keyboard-response","134","300648","0.0-6.0-1.42","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","135","301650","0.0-6.0-2.42","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide43.JPG","That was a wug.","",""
"","image-keyboard-response","136","301827","0.0-6.0-0.43","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide44.JPG","null","","","","",""
"","html-keyboard-response","137","302981","0.0-6.0-1.43","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","138","303983","0.0-6.0-2.43","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide44.JPG","That was a bim.","",""
"","image-keyboard-response","139","304160","0.0-6.0-0.44","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide45.JPG","null","","","","",""
"","html-keyboard-response","140","305312","0.0-6.0-1.44","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","141","306315","0.0-6.0-2.44","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide45.JPG","That was a wug.","",""
"","image-keyboard-response","142","306492","0.0-6.0-0.45","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide46.JPG","null","","","","",""
"","html-keyboard-response","143","307645","0.0-6.0-1.45","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","144","308647","0.0-6.0-2.45","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide46.JPG","That was a dep.","",""
"","image-keyboard-response","145","308866","0.0-6.0-0.46","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","","","","","learning/Slide47.JPG","null","","","","",""
"","html-keyboard-response","146","310018","0.0-6.0-1.46","FL","wuvcv75zvq","1280","720","de","VA04RD11","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
