"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5653","0.0-0.0","FL","z15jvz5weu","1440","900","en","gh09er15","","","","","","","","","","","","","","",""
"","survey-html-form","1","6672","0.0-1.0","FL","z15jvz5weu","1440","900","en","gh09er15","1015.0499999999738","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","13521","0.0-3.0-0.0","FL","z15jvz5weu","1440","900","en","gh09er15","6840.294999999969","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","52335","0.0-3.0-1.0","FL","z15jvz5weu","1440","900","en","gh09er15","38746.99999999939","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","339728","0.0-3.0-2.0","FL","z15jvz5weu","1440","900","en","gh09er15","287399.8250000004","{""codeword_enter"":""gh09er15""}","","","","","","","","","","","","",""
"","instructions","5","379560","0.0-4.0","FL","z15jvz5weu","1440","900","en","gh09er15","NA","","","[{""page_index"":0,""viewing_time"":7938.104999999225},{""page_index"":1,""viewing_time"":30386.30500000005}]","instructions","","","","","","","","","",""
"","resize","6","551918","0.0-5.0","FL","z15jvz5weu","1440","900","en","gh09er15","","","","","","","438","2.780952380952381","","","","","","",""
"","image-keyboard-response","7","552097","0.0-6.0-0.0","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","553254","0.0-6.0-1.0","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","554260","0.0-6.0-2.0","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","554438","0.0-6.0-0.1","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","555593","0.0-6.0-1.1","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","556596","0.0-6.0-2.1","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","556777","0.0-6.0-0.2","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","557929","0.0-6.0-1.2","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","558934","0.0-6.0-2.2","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","559113","0.0-6.0-0.3","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","560272","0.0-6.0-1.3","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","561277","0.0-6.0-2.3","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","561456","0.0-6.0-0.4","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","562613","0.0-6.0-1.4","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","563616","0.0-6.0-2.4","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","563793","0.0-6.0-0.5","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","564951","0.0-6.0-1.5","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","565952","0.0-6.0-2.5","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","566133","0.0-6.0-0.6","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","567293","0.0-6.0-1.6","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","568296","0.0-6.0-2.6","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","568476","0.0-6.0-0.7","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","569634","0.0-6.0-1.7","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","570640","0.0-6.0-2.7","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","570821","0.0-6.0-0.8","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","571980","0.0-6.0-1.8","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","572983","0.0-6.0-2.8","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","573162","0.0-6.0-0.9","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","574315","0.0-6.0-1.9","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","575317","0.0-6.0-2.9","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","575496","0.0-6.0-0.10","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","576649","0.0-6.0-1.10","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","577655","0.0-6.0-2.10","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","577833","0.0-6.0-0.11","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","578993","0.0-6.0-1.11","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","579996","0.0-6.0-2.11","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","580176","0.0-6.0-0.12","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","581328","0.0-6.0-1.12","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","582333","0.0-6.0-2.12","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","582512","0.0-6.0-0.13","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","583665","0.0-6.0-1.13","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","584666","0.0-6.0-2.13","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","584847","0.0-6.0-0.14","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","586000","0.0-6.0-1.14","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","587005","0.0-6.0-2.14","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","587183","0.0-6.0-0.15","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","588342","0.0-6.0-1.15","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","589348","0.0-6.0-2.15","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","589526","0.0-6.0-0.16","FL","z15jvz5weu","1440","900","en","gh09er15","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
