"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2884","0.0-0.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","","","","","","","","","","","","","","",""
"","survey-html-form","1","6450","0.0-1.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","3557.480000000396","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","168320","0.0-3.0-0.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","161833.73500000016","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","189407","0.0-3.0-1.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","21030.52000000025","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","296201","0.0-3.0-2.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","106785.82000000004","{""codeword_enter"":""va04ik29""}","","","","","","","","","","","","",""
"","instructions","5","353844","0.0-4.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","NA","","","[{""page_index"":0,""viewing_time"":20501.11000000016},{""page_index"":1,""viewing_time"":35634.47499999986}]","instructions","","","","","","","","","",""
"","resize","6","407148","0.0-5.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","","","","","","","428","2.7174603174603176","","","","","","",""
"","image-keyboard-response","7","407332","0.0-6.0-0.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","408487","0.0-6.0-1.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","409493","0.0-6.0-2.0","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","409673","0.0-6.0-0.1","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","410831","0.0-6.0-1.1","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","411835","0.0-6.0-2.1","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","412017","0.0-6.0-0.2","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","413171","0.0-6.0-1.2","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","414176","0.0-6.0-2.2","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","414357","0.0-6.0-0.3","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","415514","0.0-6.0-1.3","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","416518","0.0-6.0-2.3","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","416700","0.0-6.0-0.4","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","417860","0.0-6.0-1.4","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","418866","0.0-6.0-2.4","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","419047","0.0-6.0-0.5","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","420202","0.0-6.0-1.5","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","421206","0.0-6.0-2.5","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","421384","0.0-6.0-0.6","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","422545","0.0-6.0-1.6","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","423550","0.0-6.0-2.6","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","423732","0.0-6.0-0.7","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","424890","0.0-6.0-1.7","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","425894","0.0-6.0-2.7","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","426075","0.0-6.0-0.8","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","427232","0.0-6.0-1.8","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","428238","0.0-6.0-2.8","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","428415","0.0-6.0-0.9","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","429573","0.0-6.0-1.9","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","430579","0.0-6.0-2.9","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","430760","0.0-6.0-0.10","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","431917","0.0-6.0-1.10","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","432922","0.0-6.0-2.10","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","433099","0.0-6.0-0.11","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","434260","0.0-6.0-1.11","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","435266","0.0-6.0-2.11","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","435443","0.0-6.0-0.12","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","436600","0.0-6.0-1.12","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","437605","0.0-6.0-2.12","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","437786","0.0-6.0-0.13","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","438943","0.0-6.0-1.13","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","439948","0.0-6.0-2.13","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","440128","0.0-6.0-0.14","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","441285","0.0-6.0-1.14","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","442289","0.0-6.0-2.14","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","442467","0.0-6.0-0.15","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","443628","0.0-6.0-1.15","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","444632","0.0-6.0-2.15","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","444814","0.0-6.0-0.16","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","445975","0.0-6.0-1.16","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","57","446979","0.0-6.0-2.16","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide17.JPG","That was a bim.","",""
"","image-keyboard-response","58","447161","0.0-6.0-0.17","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
"","html-keyboard-response","59","448318","0.0-6.0-1.17","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","60","449322","0.0-6.0-2.17","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide18.JPG","That was a tob.","",""
"","image-keyboard-response","61","449503","0.0-6.0-0.18","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide19.JPG","null","","","","",""
"","html-keyboard-response","62","450665","0.0-6.0-1.18","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","63","451669","0.0-6.0-2.18","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide19.JPG","That was a wug.","",""
"","image-keyboard-response","64","451851","0.0-6.0-0.19","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide20.JPG","null","","","","",""
"","html-keyboard-response","65","453002","0.0-6.0-1.19","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","66","454007","0.0-6.0-2.19","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide20.JPG","That was a bim.","",""
"","image-keyboard-response","67","454184","0.0-6.0-0.20","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide21.JPG","null","","","","",""
"","html-keyboard-response","68","455341","0.0-6.0-1.20","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","69","456355","0.0-6.0-2.20","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide21.JPG","That was a dep.","",""
"","image-keyboard-response","70","456536","0.0-6.0-0.21","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide22.JPG","null","","","","",""
"","html-keyboard-response","71","457690","0.0-6.0-1.21","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","72","458695","0.0-6.0-2.21","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide22.JPG","That was a bim.","",""
"","image-keyboard-response","73","458876","0.0-6.0-0.22","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide23.JPG","null","","","","",""
"","html-keyboard-response","74","460038","0.0-6.0-1.22","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","75","461042","0.0-6.0-2.22","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide23.JPG","That was a tob.","",""
"","image-keyboard-response","76","461223","0.0-6.0-0.23","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide24.JPG","null","","","","",""
"","html-keyboard-response","77","462384","0.0-6.0-1.23","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","78","463389","0.0-6.0-2.23","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide24.JPG","That was a wug.","",""
"","image-keyboard-response","79","463569","0.0-6.0-0.24","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide25.JPG","null","","","","",""
"","html-keyboard-response","80","464727","0.0-6.0-1.24","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","81","465731","0.0-6.0-2.24","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide25.JPG","That was a dep.","",""
"","image-keyboard-response","82","465913","0.0-6.0-0.25","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide26.JPG","null","","","","",""
"","html-keyboard-response","83","467072","0.0-6.0-1.25","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","84","468077","0.0-6.0-2.25","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide26.JPG","That was a wug.","",""
"","image-keyboard-response","85","468254","0.0-6.0-0.26","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide27.JPG","null","","","","",""
"","html-keyboard-response","86","469416","0.0-6.0-1.26","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","87","470420","0.0-6.0-2.26","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide27.JPG","That was a bim.","",""
"","image-keyboard-response","88","470597","0.0-6.0-0.27","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide28.JPG","null","","","","",""
"","html-keyboard-response","89","471758","0.0-6.0-1.27","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","90","472762","0.0-6.0-2.27","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide28.JPG","That was a dep.","",""
"","image-keyboard-response","91","472943","0.0-6.0-0.28","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide29.JPG","null","","","","",""
"","html-keyboard-response","92","474096","0.0-6.0-1.28","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","93","475102","0.0-6.0-2.28","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide29.JPG","That was a tob.","",""
"","image-keyboard-response","94","475280","0.0-6.0-0.29","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide30.JPG","null","","","","",""
"","html-keyboard-response","95","476431","0.0-6.0-1.29","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","96","477436","0.0-6.0-2.29","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide30.JPG","That was a dep.","",""
"","image-keyboard-response","97","477614","0.0-6.0-0.30","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide31.JPG","null","","","","",""
"","html-keyboard-response","98","478770","0.0-6.0-1.30","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","99","479772","0.0-6.0-2.30","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide31.JPG","That was a wug.","",""
"","image-keyboard-response","100","479949","0.0-6.0-0.31","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide32.JPG","null","","","","",""
"","html-keyboard-response","101","481101","0.0-6.0-1.31","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","102","482105","0.0-6.0-2.31","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide32.JPG","That was a tob.","",""
"","image-keyboard-response","103","482283","0.0-6.0-0.32","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide33.JPG","null","","","","",""
"","html-keyboard-response","104","483438","0.0-6.0-1.32","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","105","484442","0.0-6.0-2.32","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide33.JPG","That was a bim.","",""
"","image-keyboard-response","106","484620","0.0-6.0-0.33","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide34.JPG","null","","","","",""
"","html-keyboard-response","107","485773","0.0-6.0-1.33","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","108","486775","0.0-6.0-2.33","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide34.JPG","That was a tob.","",""
"","image-keyboard-response","109","486956","0.0-6.0-0.34","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide35.JPG","null","","","","",""
"","html-keyboard-response","110","488108","0.0-6.0-1.34","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","111","489111","0.0-6.0-2.34","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide35.JPG","That was a bim.","",""
"","image-keyboard-response","112","489287","0.0-6.0-0.35","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide36.JPG","null","","","","",""
"","html-keyboard-response","113","490441","0.0-6.0-1.35","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","114","491443","0.0-6.0-2.35","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide36.JPG","That was a dep.","",""
"","image-keyboard-response","115","491621","0.0-6.0-0.36","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide37.JPG","null","","","","",""
"","html-keyboard-response","116","492775","0.0-6.0-1.36","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","117","493779","0.0-6.0-2.36","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide37.JPG","That was a tob.","",""
"","image-keyboard-response","118","493956","0.0-6.0-0.37","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide38.JPG","null","","","","",""
"","html-keyboard-response","119","495110","0.0-6.0-1.37","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","120","496113","0.0-6.0-2.37","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide38.JPG","That was a wug.","",""
"","image-keyboard-response","121","496290","0.0-6.0-0.38","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide39.JPG","null","","","","",""
"","html-keyboard-response","122","497441","0.0-6.0-1.38","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","123","498445","0.0-6.0-2.38","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide39.JPG","That was a bim.","",""
"","image-keyboard-response","124","498622","0.0-6.0-0.39","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide40.JPG","null","","","","",""
"","html-keyboard-response","125","499773","0.0-6.0-1.39","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","126","500777","0.0-6.0-2.39","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide40.JPG","That was a tob.","",""
"","image-keyboard-response","127","500956","0.0-6.0-0.40","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide41.JPG","null","","","","",""
"","html-keyboard-response","128","502110","0.0-6.0-1.40","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","129","503114","0.0-6.0-2.40","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide41.JPG","That was a bim.","",""
"","image-keyboard-response","130","503291","0.0-6.0-0.41","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide42.JPG","null","","","","",""
"","html-keyboard-response","131","504443","0.0-6.0-1.41","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","132","505447","0.0-6.0-2.41","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide42.JPG","That was a dep.","",""
"","image-keyboard-response","133","505623","0.0-6.0-0.42","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide43.JPG","null","","","","",""
"","html-keyboard-response","134","506780","0.0-6.0-1.42","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","135","507784","0.0-6.0-2.42","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide43.JPG","That was a wug.","",""
"","image-keyboard-response","136","507960","0.0-6.0-0.43","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide44.JPG","null","","","","",""
"","html-keyboard-response","137","509114","0.0-6.0-1.43","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","138","510120","0.0-6.0-2.43","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide44.JPG","That was a bim.","",""
"","image-keyboard-response","139","510297","0.0-6.0-0.44","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide45.JPG","null","","","","",""
"","html-keyboard-response","140","511450","0.0-6.0-1.44","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","141","512455","0.0-6.0-2.44","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide45.JPG","That was a wug.","",""
"","image-keyboard-response","142","512632","0.0-6.0-0.45","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide46.JPG","null","","","","",""
"","html-keyboard-response","143","513787","0.0-6.0-1.45","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","144","514791","0.0-6.0-2.45","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide46.JPG","That was a dep.","",""
"","image-keyboard-response","145","514969","0.0-6.0-0.46","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","","","","","learning/Slide47.JPG","null","","","","",""
"","html-keyboard-response","146","516124","0.0-6.0-1.46","FL","wmv7c0r6c5","1440","900","en","va04ik29","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
