"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","27781","0.0-0.0","LF","7908vbmsu0","1440","900","en","en19ao08","","","","","","","","","","","","","","",""
"","survey-html-form","1","38972","0.0-1.0","LF","7908vbmsu0","1440","900","en","en19ao08","11187.05500010401","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","296727","0.0-3.0-0.0","LF","7908vbmsu0","1440","900","en","en19ao08","257707.87499984726","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","333821","0.0-3.0-1.0","LF","7908vbmsu0","1440","900","en","en19ao08","37050.20500021055","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","515943","0.0-3.0-2.0","LF","7908vbmsu0","1440","900","en","en19ao08","182123.52500017732","{""codeword_enter"":""en19ao08""}","","","","","","","","","","","","",""
"","instructions","5","542052","0.0-4.0","LF","7908vbmsu0","1440","900","en","en19ao08","NA","","","[{""page_index"":0,""viewing_time"":7355.410000309348},{""page_index"":1,""viewing_time"":17249.7849999927}]","instructions","","","","","","","","","",""
"","resize","6","690332","0.0-5.0","LF","7908vbmsu0","1440","900","en","en19ao08","","","","","","","433","2.749206349206349","","","","","","",""
"","html-keyboard-response","7","691340","0.0-6.0-0.0","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","691676","0.0-6.0-1.0","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","692678","0.0-6.0-2.0","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","693681","0.0-6.0-0.1","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","694012","0.0-6.0-1.1","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","695014","0.0-6.0-2.1","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","696017","0.0-6.0-0.2","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","696348","0.0-6.0-1.2","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","697350","0.0-6.0-2.2","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","698352","0.0-6.0-0.3","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","698686","0.0-6.0-1.3","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","699692","0.0-6.0-2.3","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","700694","0.0-6.0-0.4","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","701030","0.0-6.0-1.4","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","702037","0.0-6.0-2.4","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","703041","0.0-6.0-0.5","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","703374","0.0-6.0-1.5","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","704380","0.0-6.0-2.5","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","705382","0.0-6.0-0.6","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","705713","0.0-6.0-1.6","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","706716","0.0-6.0-2.6","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","707718","0.0-6.0-0.7","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","708049","0.0-6.0-1.7","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","709051","0.0-6.0-2.7","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","710054","0.0-6.0-0.8","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","710388","0.0-6.0-1.8","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","711393","0.0-6.0-2.8","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","712396","0.0-6.0-0.9","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","712726","0.0-6.0-1.9","LF","7908vbmsu0","1440","900","en","en19ao08","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
