N_subj N_obs dataParamsN alpha beta1 beta2 beta3 run model_grand_mean model_beta1 model_beta2 model_beta3 model_grand_mean_se model_beta1_se model_beta2_se model_beta3_se model_learninginLow_effect model_learninginLow_se singular conv_error CoefficientTested H1sd BF BF_cat pvalue
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N grandmean 1.60993490494602 6.95065607274498e+31 9 9.02940036435236e-35
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N grandmean 0.80496745247301 2.3318671624358e+31 9 9.02940036435236e-35
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N maineffectFreq 1.70245936802782 51780093.8069865 9 4.33412394148535e-10
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N maineffectFreq 0.851229684013909 46736541.5898032 9 4.33412394148535e-10
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N maineffectlearning 0.662575780505779 1.20766332234129 5 0.120477863319565
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N maineffectlearning 0.33128789025289 1.98285008727062 5 0.120477863319565
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N interaction 1.02645921376387 2.83718008687863 5 0.0539684117920126
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N interaction 0.513229606881937 3.82408338665495 6 0.0539684117920126
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N LearninginLow 1.17580521124627 23.6948996633746 7 9.24146650686124e-06
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 1 1.78596217286825 -1.26696936538463 0.213353341605106 0.529559000619504 0.145197223030273 0.202991377166613 0.137401682159636 0.274797230049693 0.478132841914858 0.158193070335612 N N LearninginLow 0.587902605623133 36.7775947360461 8 9.24146650686124e-06
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N grandmean 1.60993490494602 2.4019136552605e+29 9 2.81683827066515e-32
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N grandmean 0.80496745247301 1.50353815089843e+29 9 2.81683827066515e-32
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N maineffectFreq 1.70245936802782 1.61886963333625e+20 9 6.0695316156273e-23
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N maineffectFreq 0.851229684013909 70244687906130501632 9 6.0695316156273e-23
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N maineffectlearning 0.662575780505779 5.8346433464915 6 0.0172724091203414
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N maineffectlearning 0.33128789025289 8.41227628305933 6 0.0172724091203414
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N interaction 1.02645921376387 1.24206027736127 5 0.142354988203199
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N interaction 0.513229606881937 1.92422574688104 5 0.142354988203199
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N LearninginLow 1.17580521124627 95.0589061094429 8 9.24146650686124e-06
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 2 1.43152668451093 -1.7558159952871 0.308335328356503 0.379977034083728 0.121034621667502 0.178034647055441 0.129506018472107 0.259002709495429 0.498323845398366 0.143121930997747 N N LearninginLow 0.587902605623133 144.820076484967 9 9.24146650686124e-06
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 3 1.67375776112708 -1.58296489000036 0.204691332881392 0.304225631469888 0.135310097010367 0.230146554414534 0.136663355439281 0.273334326322002 0.356804148616336 0.153373738111049 N N grandmean 1.60993490494602 1.64505022796201e+32 9 3.80806047070439e-35
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 3 1.67375776112708 -1.58296489000036 0.204691332881392 0.304225631469888 0.135310097010367 0.230146554414534 0.136663355439281 0.273334326322002 0.356804148616336 0.153373738111049 N N grandmean 0.80496745247301 6.80335165565894e+31 9 3.80806047070439e-35
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 3 1.67375776112708 -1.58296489000036 0.204691332881392 0.304225631469888 0.135310097010367 0.230146554414534 0.136663355439281 0.273334326322002 0.356804148616336 0.153373738111049 N N maineffectFreq 1.70245936802782 3277731286.05987 9 6.06674195595277e-12
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 3 1.67375776112708 -1.58296489000036 0.204691332881392 0.304225631469888 0.135310097010367 0.230146554414534 0.136663355439281 0.273334326322002 0.356804148616336 0.153373738111049 N N maineffectFreq 0.851229684013909 1948937505.05945 9 6.06674195595277e-12
40 48 1 1.60993490494602 -1.70245936802782 0.33128789025289 0.513229606881937 3 1.67375776112708 -1.58296489000036 0.204691332881392 0.304225631469888 0.135310097010367 0.230146554414534 0.136663355439281 0.273334326322002 0.356804148616336 0.153373738111049 N N maineffectlearning 0.662575780505779 1.10065520511159 5 0.134191003755634
